04-06-2021 14:02:11.927,-,AT,",0000100B00000A53,9XTend Hopping (version B),2004,COM5 - 9600/8/N/1/N,5,63"
04-06-2021 14:01:32.196,4258,RECV,3B3130313133312E32353B3131362E35353B3435343436393138363B2D3733363933393636373B30313A30333A3037
04-06-2021 14:01:34.092,4259,RECV,2D332E35363B302E30303B
04-06-2021 14:01:34.155,4260,RECV,302E30303B2D302E36303B302E30303B392E34393B3130313133312E34313B3131362E35333B3435343436393230323B2D3733363933393636333B3031
04-06-2021 14:01:34.225,4261,RECV,3A30333A3039
04-06-2021 14:01:36.157,4262,RECV,2D332E35363B302E30303B302E30303B2D302E35393B2D30
04-06-2021 14:01:36.220,4263,RECV,2E30313B392E34353B3130313133302E37353B3131362E35393B3435343436393231313B2D3733363933393635373B30313A30333A3131
04-06-2021 14:01:38.112,4264,RECV,2D332E35363B302E30303B302E30
04-06-2021 14:01:38.176,4265,RECV,303B2D302E36333B2D302E30343B392E34373B3130313133312E32353B3131362E35353B3435343436393231373B2D3733363933393636303B30313A3033
04-06-2021 14:01:38.240,4266,RECV,3A3133
04-06-2021 14:01:40.064,4267,RECV,2D332E35
04-06-2021 14:01:40.126,4268,RECV,363B302E30303B302E30303B2D302E36323B2D302E30323B392E34353B3130313133312E30323B3131362E35363B3435343436393232323B2D3733
04-06-2021 14:01:40.190,4269,RECV,363933393636303B30313A30333A3135
04-06-2021 14:01:42.190,4270,RECV,2D332E35363B302E30303B302E30303B2D302E36313B2D302E30323B392E34373B3130313133302E38353B3131362E35
04-06-2021 14:01:42.254,4271,RECV,383B3435343436393233343B2D3733363933393635353B30313A30333A3137
04-06-2021 14:01:44.143,4272,RECV,2D332E35363B302E30303B302E30303B2D302E35393B302E30303B392E34373B3130313133312E31393B3131362E3535
04-06-2021 14:01:44.206,4273,RECV,3B3435343436393234333B2D3733363933393635303B30313A30333A3139
04-06-2021 14:01:46.083,4274,RECV,2D332E35363B302E30303B302E30303B2D302E35383B2D30
04-06-2021 14:01:46.146,4275,RECV,2E30323B392E33393B3130313133312E31393B3131362E35353B3435343436393235323B2D3733363933393634373B30313A30333A3231
04-06-2021 14:01:48.146,4276,RECV,2D332E35363B302E30303B302E30303B2D
04-06-2021 14:01:48.209,4277,RECV,302E36313B2D302E30323B392E34363B3130313133312E33343B3131362E35343B3435343436393236343B2D3733363933393634313B30313A30333A3233
04-06-2021 14:01:50.159,4278,RECV,2D332E35363B302E30303B302E30303B2D302E36323B2D302E30313B392E34333B3130313133312E35323B3131362E35323B3435343436393237363B2D
04-06-2021 14:01:50.222,4279,RECV,3733363933393633353B30313A30333A3235
04-06-2021 14:01:52.119,4280,RECV,2D332E35363B302E30303B302E30303B2D302E36303B2D302E30323B392E34353B313031
04-06-2021 14:01:52.182,4281,RECV,3133312E31393B3131362E35353B3435343436393239323B2D3733363933393633313B30313A30333A3237
04-06-2021 14:01:54.201,4282,RECV,2D332E35363B302E30303B302E30303B2D302E36323B2D302E30313B392E34343B3130313133302E38353B3131362E35383B3435343436
04-06-2021 14:01:54.263,4283,RECV,393330353B2D3733363933393633303B30313A30333A3239
04-06-2021 14:01:56.152,4284,RECV,2D332E35363B302E30303B302E30303B2D302E36313B2D302E30313B392E34353B313031313330
04-06-2021 14:01:56.214,4285,RECV,2E32363B3131362E36333B3435343436393332303B2D3733363933393632363B30313A30333A3331
04-06-2021 14:01:58.098,4286,RECV,2D332E35363B302E30303B302E30303B2D302E36323B2D302E30333B392E35
04-06-2021 14:01:58.161,4287,RECV,313B3130313133302E35393B3131362E36303B3435343436393333343B2D3733363933393631343B30313A30333A3333
