We are writingRTC is not running
Initialized
Temp: 26.44, Pressure:101009.48, Altitude(BMP,m):126.68,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469261,Longitude:-736939591,Altitude(GPS,m):14,Time:15:55:38

Temp: 26.44, Pressure:101009.64, Altitude(BMP,m):126.67,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469271,Longitude:-736939600,Altitude(GPS,m):14,Time:15:55:40

Temp: 26.45, Pressure:101009.58, Altitude(BMP,m):126.67,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469278,Longitude:-736939610,Altitude(GPS,m):14,Time:15:55:42

Temp: 26.45, Pressure:101009.23, Altitude(BMP,m):126.70,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469285,Longitude:-736939625,Altitude(GPS,m):14,Time:15:55:44

Temp: 26.45, Pressure:101009.00, Altitude(BMP,m):126.72,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469289,Longitude:-736939635,Altitude(GPS,m):14,Time:15:55:46

Temp: 26.46, Pressure:101009.27, Altitude(BMP,m):126.70,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469290,Longitude:-736939644,Altitude(GPS,m):13,Time:15:55:48

Temp: 26.46, Pressure:101009.49, Altitude(BMP,m):126.68,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469287,Longitude:-736939653,Altitude(GPS,m):13,Time:15:55:50

Temp: 26.46, Pressure:101009.59, Altitude(BMP,m):126.67,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469287,Longitude:-736939663,Altitude(GPS,m):13,Time:15:55:52

Temp: 26.46, Pressure:101010.02, Altitude(BMP,m):126.64,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469296,Longitude:-736939674,Altitude(GPS,m):13,Time:15:55:54

Temp: 26.47, Pressure:101010.28, Altitude(BMP,m):126.61,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469305,Longitude:-736939686,Altitude(GPS,m):13,Time:15:55:56

Temp: 26.47, Pressure:101010.34, Altitude(BMP,m):126.61,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469317,Longitude:-736939704,Altitude(GPS,m):14,Time:15:55:58

Temp: 26.47, Pressure:101010.01, Altitude(BMP,m):126.64,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469326,Longitude:-736939700,Altitude(GPS,m):14,Time:15:56:0

Temp: 26.47, Pressure:101010.11, Altitude(BMP,m):126.63,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469337,Longitude:-736939702,Altitude(GPS,m):14,Time:15:56:2

Temp: 26.47, Pressure:101010.53, Altitude(BMP,m):126.59,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469340,Longitude:-736939701,Altitude(GPS,m):14,Time:15:56:4

Temp: 26.47, Pressure:101010.70, Altitude(BMP,m):126.58,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469342,Longitude:-736939700,Altitude(GPS,m):14,Time:15:56:6

Temp: 26.48, Pressure:101010.97, Altitude(BMP,m):126.56,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469342,Longitude:-736939702,Altitude(GPS,m):14,Time:15:56:8

Temp: 26.48, Pressure:101010.47, Altitude(BMP,m):126.60,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469344,Longitude:-736939700,Altitude(GPS,m):14,Time:15:56:10

Temp: 26.48, Pressure:101010.36, Altitude(BMP,m):126.61,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469346,Longitude:-736939697,Altitude(GPS,m):14,Time:15:56:12

Temp: 26.48, Pressure:101010.03, Altitude(BMP,m):126.64,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469343,Longitude:-736939684,Altitude(GPS,m):14,Time:15:56:14

Temp: 26.48, Pressure:101009.86, Altitude(BMP,m):126.65,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469337,Longitude:-736939675,Altitude(GPS,m):14,Time:15:56:16

Temp: 26.48, Pressure:101009.83, Altitude(BMP,m):126.65,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469333,Longitude:-736939669,Altitude(GPS,m):14,Time:15:56:18

Temp: 26.48, Pressure:101009.49, Altitude(BMP,m):126.68,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469325,Longitude:-736939665,Altitude(GPS,m):14,Time:15:56:20

Temp: 26.48, Pressure:101009.75, Altitude(BMP,m):126.66,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469332,Longitude:-736939681,Altitude(GPS,m):15,Time:15:56:22

